Fecha;Santander;BBVA;CaixaBank;Sabadell;Unicaja;Bankinter
2022-07-05 00:00:00;2,271643162;3,451071978;2,467254639;0,583056033;0,709152997;4,551960945
2022-07-06 00:00:00;2,23404789;3,446568489;2,30432272;0,544163346;0,677976906;4,19517231
2022-07-07 00:00:00;2,313661575;3,571839571;2,423110247;0,567800701;0,692941427;4,347844124
2022-07-08 00:00:00;2,311450243;3,600085974;2,408663273;0,565956652;0,690863013;4,293081284
2022-07-11 00:00:00;2,26456666;3,508384943;2,372545242;0,554054141;0,69335711;4,231679916
2022-07-12 00:00:00;2,181857109;3,376155376;2,167877197;0,512814462;0,640149832;4,016777515
2022-07-13 00:00:00;2,16416502;3,37983942;2,171890259;0,512982011;0,641812623;4,015118599
2022-07-14 00:00:00;2,067744017;3,274629116;2,120522499;0,502588332;0,640981197;3,871572971
2022-07-15 00:00:00;2,127896547;3,35773325;2,174298286;0,517843544;0,657192767;3,939611673
2022-07-18 00:00:00;2,133646488;3,356914997;2,189547777;0,520861149;0,676729798;3,95122838
2022-07-19 00:00:00;2,222548485;3,488325119;2,347663879;0,553886533;0,706658959;4,128792763
2022-07-20 00:00:00;2,176991463;3,414227724;2,303519726;0,540475249;0,692525685;4,034203053
2022-07-21 00:00:00;2,170357227;3,439199924;2,350071907;0,554724634;0,70374912;4,259891987
2022-07-22 00:00:00;2,152222872;3,3962152;2,266599417;0,528069794;0,697513878;4,013459206
2022-07-25 00:00:00;2,172126293;3,436334372;2,337229967;0,547683775;0,731184065;4,150366783
2022-07-26 00:00:00;2,156203508;3,361826897;2,345256329;0,547516167;0,72453326;4,096432209
2022-07-27 00:00:00;2,201318264;3,406039953;2,395018816;0,563777268;0,754462361;4,091454983
2022-07-28 00:00:00;2,148684263;3,412590504;2,335624933;0,535445988;0,718298078;3,996863842
2022-07-29 00:00:00;2,158415318;3,616461277;2,350874424;0,523543417;0,702086449;3,986077309
2022-08-01 00:00:00;2,116838932;3,574295282;2,32358551;0,521028817;0,707074583;4,056604862
2022-08-02 00:00:00;2,109319687;3,61523366;2,408663273;0,542319298;0,730352759;4,095602989
2022-08-03 00:00:00;2,152665377;3,73231554;2,365321875;0,534607708;0,715803921;4,1138587
2022-08-04 00:00:00;2,175664663;3,774072409;2,346059084;0,530249059;0,711647093;4,121325493
2022-08-05 00:00:00;2,212375164;3,783488274;2,416689396;0,553215921;0,728690088;4,188534737
2022-08-08 00:00:00;2,259258986;3,804367065;2,438360453;0,556401074;0,741160512;4,22670269
2022-08-09 00:00:00;2,26102829;3,830157518;2,452807188;0,557406962;0,744485974;4,27482748
